lat,lng,nearest_city_cityname,nearest_city_countrycode,Temp,Humidity,Cloudiness,WindSpeed,DT
50,90,mugur-aksy,ru,-20.04,44,12,2.04,1511048699
58,60,nizhniy tagil,ru,29.64,84,80,9.42,1511048831
18,78,medak,in,75.09,72,80,7.18,1511048832
0,42,afmadu,so,,,,,
44,-2,hendaye,fr,38.68,93,0,1.12,1511047800
-6,112,lasem,id,79.01,100,48,5.61,1511048833
-28,150,moree,au,71.63,85,12,8.97,1511048833
-40,-62,punta alta,ar,66.27,59,12,13.22,1511048834
54,-112,two hills,ca,20.91,82,92,8.41,1511048834
54,26,navahrudak,by,30.59,94,56,9.98,1511048835
16,-84,barra patuca,hn,76.04,100,92,12.55,1511048618
60,12,skotterud,no,31.58,96,92,7.52,1511048835
52,-106,watrous,ca,6.74,67,8,7.4,1511048836
-18,46,fenoarivo,mg,,,,,
54,32,khislavichi,ru,31.94,97,92,6.06,1511048837
10,122,magdalena,ph,80.6,100,40,2.24,1511046000
42,-98,norfolk,us,62.04,72,1,10.29,1511047200
50,-110,maple creek,ca,29.6,69,24,11.77,1511048838
42,24,velingrad,bg,46.4,100,68,4.7,1511047800
18,-130,san quintin,mx,72.21,45,0,4.05,1511048839
26,90,dhuburi,in,61.82,91,0,2.37,1511048839
28,-102,muzquiz,mx,,,,,
56,38,fryazino,ru,34.23,94,90,6.71,1511046000
34,62,herat,af,26.81,71,0,5.17,1511048841
28,46,doha,kw,,,,,
16,74,savantvadi,in,72.12,73,88,2.93,1511048841
36,56,shahrud,ir,23.48,67,0,2.59,1511048842
64,-152,anchorage,us,16.09,92,1,1.36,1511045760
0,26,kisangani,cd,71.27,100,64,2.48,1511048617
20,-104,juchitlan,mx,79.32,49,0,2.26,1511048843
42,134,preobrazheniye,ru,5.07,57,0,5.95,1511048843
56,102,bratsk,ru,21.2,92,90,2.24,1511046000
-42,-72,puerto montt,cl,50.57,100,88,6.85,1511048838
-32,24,graaff-reinet,za,43.46,79,0,2.71,1511048844
12,80,pondicherry,in,,,,,
12,106,kracheh,kh,,,,,
52,102,kyren,ru,-15.41,38,0,1.92,1511048845
26,88,kishanganj,in,65.01,96,0,4.94,1511048846
48,-112,great falls,us,39.2,44,1,21.92,1511045880
-28,26,hoopstad,za,53.67,77,0,7.07,1511048847
-6,-48,ananas,br,,,,,
22,94,falam,mm,59.57,97,8,0.92,1511048848
66,90,svetlogorsk,ru,35.6,100,75,13.42,1511046000
2,172,taburao,ki,,,,,
-26,24,werda,bw,56.37,24,0,8.08,1511048849
52,18,pleszew,pl,36.98,95,88,13.33,1511048849
54,152,sobolevo,ru,,,,,
28,60,iranshahr,ir,33.47,42,0,1.92,1511048850
-2,-38,jardim,br,69.11,98,88,5.95,1511048851
40,80,aksu,cn,26.54,80,88,1.14,1511048687
6,84,kalmunai,lk,71.81,99,0,1.92,1511048851
-28,-60,resistencia,ar,65.26,48,0,5.82,1511046000
44,10,lerici,it,39.2,100,40,3.36,1511046900
42,-140,port hardy,ca,44.6,93,90,13.87,1511046000
46,-98,aberdeen,us,28.4,50,1,13.87,1511045580
42,124,fushun,cn,14,47,0,4.47,1511046000
-8,150,kandrian,pg,86.75,75,0,3.15,1511048855
46,-12,carballo,es,44.6,93,0,2.24,1511047800
30,-26,vila franca do campo,pt,66.2,82,40,8.05,1511047800
56,134,chumikan,ru,-6.68,100,0,12.21,1511048760
46,-68,houlton,us,29.16,74,75,4.16,1511045760
30,76,dirba,in,50.21,86,0,8.3,1511048858
42,-124,grants pass,us,41.97,44,1,8.05,1511045760
0,-68,sao gabriel da cachoeira,br,79.86,90,8,2.93,1511048858
68,138,deputatskiy,ru,-9.56,64,76,3.04,1511048769
12,-38,sao filipe,cv,77.07,100,0,10.98,1511048859
64,148,shirokiy,ru,-12.98,100,0,6.62,1511048860
62,30,lakhdenpokhya,ru,37.07,98,76,10.76,1511048860
-36,146,corowa,au,71.6,53,0,8.05,1511046000
14,40,adwa,et,,,,,
32,-22,ponta do sol,pt,66.2,68,75,12.75,1511047800
6,42,ginir,et,43.59,72,0,2.59,1511048861
44,-60,louisbourg,ca,,,,,
48,-62,cap-aux-meules,ca,37.4,86,90,23.04,1511046000
50,126,nenjiang,cn,-22.74,33,0,7.18,1511048863
46,24,cenade,ro,,,,,
-24,44,betioky,mg,66.32,68,0,12.33,1511048864
48,-80,kirkland lake,ca,28.4,92,90,10.29,1511046000
28,96,tezu,in,54.57,72,0,1.59,1511048865
30,-92,abbeville,us,75.83,88,40,9.17,1511046900
18,88,paradwip,in,,,,,
46,60,kazalinsk,kz,,,,,
24,84,daltenganj,in,64.29,85,44,3.15,1511048866
20,-42,ponta do sol,cv,76.13,100,0,13.56,1511048867
22,104,lao cai,vn,59.34,100,88,1.92,1511048868
72,134,nizhneyansk,ru,,,,,
54,4,den helder,nl,47.05,70,75,12.75,1511047500
20,-68,samana,do,,,,,
54,8,jever,de,42.8,81,20,18.34,1511047200
24,106,bose,cn,,,,,
-10,36,mahanje,tz,79.1,42,88,5.84,1511048630
32,138,oyama,jp,42.8,56,20,2.24,1511046000
28,-98,alice,us,85.1,48,1,9.17,1511046900
-58,128,mount gambier,au,77.12,69,0,4.94,1511048748
18,-24,pombas,cv,76.13,100,0,13.56,1511048871
-2,18,inongo,cd,71.94,100,56,2.15,1511048871
30,58,bam,ir,31.31,55,0,5.39,1511048872
32,14,bani walid,ly,45.26,84,0,8.86,1511048872
6,32,juba,sd,,,,,
42,-10,vila praia de ancora,pt,50.86,76,0,8.05,1511047800
-8,32,sumbawanga,tz,68,60,5,5.82,1511046000
62,40,shalakusha,ru,34.55,99,92,10.09,1511048874
-60,128,portland,au,67.58,79,0,2.37,1511048875
32,38,turayf,sa,62.6,36,0,16.11,1511046000
-12,-72,pangoa,pe,67.76,97,12,2.04,1511048877
34,6,tuggurt,dz,,,,,
-32,-58,paysandu,uy,57.72,39,0,5.5,1511048878
60,-154,homer,us,32,100,1,3.36,1511045580
-12,142,daru,pg,79.19,100,80,9.86,1511048879
54,-116,whitecourt,ca,23,85,75,4.7,1511046000
12,128,sulangan,ph,82.79,100,64,12.77,1511048879
-14,24,kabompo,zm,65.06,87,68,3.27,1511048880
62,154,dukat,ru,-23.28,31,0,2.59,1511048784
10,34,asosa,et,60.65,83,12,3.04,1511048881
34,-106,ruidoso,us,57.9,36,1,8.05,1511046900
14,-68,rincon,an,,,,,
2,-118,san patricio,mx,87.8,70,20,13.87,1511044800
10,-76,san onofre,co,78.92,90,100,7.74,1511048882
56,120,khani,ru,,,,,
40,-16,peniche,pt,51.84,51,0,3.36,1511047800
28,-108,creel,mx,61.73,19,0,5.28,1511048883
-28,162,noumea,nc,78.8,39,0,5.82,1511047800
22,-92,celestun,mx,78.06,100,0,9.98,1511048885
64,-22,kopavogur,is,31.17,80,75,5.82,1511046000
52,-102,kamsack,ca,8.6,71,1,11.41,1511046000
30,-102,del rio,us,73.4,27,1,11.41,1511045760
-20,-24,georgetown,sh,75.05,100,68,16.02,1511048887
-40,176,takapau,nz,56.78,65,88,13,1511048888
58,34,berezayka,ru,33.24,87,88,9.53,1511048888
38,-72,brigantine,us,54.91,67,75,16.11,1511046000
24,-110,la paz,mx,86,33,5,9.17,1511044800
-14,44,boueni,yt,77,88,76,3.36,1511046000
50,134,litovko,ru,-11.04,73,20,1.7,1511048760
28,122,wenling,cn,50.66,100,44,15.46,1511048890
50,44,danilovka,ru,34.01,98,80,10.87,1511048891
26,-98,rio bravo,mx,85.19,54,1,4.7,1511046900
40,120,qinhuangdao,cn,10.61,65,0,2.15,1511048892
54,-180,egvekinot,ru,25.1,92,92,2.59,1511048893
70,26,karasjok,no,23,92,36,2.24,1511047200
16,-98,huazolotitlan,mx,,,,,
-22,148,moranbah,au,79.01,62,24,9.64,1511048894
60,106,yerbogachen,ru,-34.76,63,0,1.59,1511048718
20,108,cam pha,vn,,,,,
42,-72,southbridge,us,39.24,80,90,8.19,1511047920
60,38,lipin bor,ru,33.51,91,88,15.23,1511048896
56,88,suslovo,ru,30.32,90,88,8.75,1511048896
-18,-52,jatai,br,73.02,80,88,6.96,1511048897
20,-96,emilio carranza,mx,,,,,
-4,106,metro,id,80.99,86,48,6.06,1511048712
16,-96,xadani,mx,,,,,
2,20,binga,cd,,,,,
26,92,nongpoh,in,58.44,94,56,2.59,1511048898
-6,26,lubao,cd,69.38,90,8,2.93,1511048899
36,-80,high point,us,61.7,59,40,10.29,1511046900
32,24,tubruq,ly,,,,,
-14,166,sola,vu,80.81,99,92,15.46,1511048900
52,2,lowestoft,gb,39.2,80,36,8.05,1511047200
30,44,baghdad,iq,57.2,54,44,1.12,1511046000
38,106,yinchuan,cn,22.4,52,80,3.04,1511048902
-14,-40,jitauna,br,70.14,86,32,5.95,1511048902
16,-88,puerto cortes,hn,,,,,
40,-112,payson,us,39.2,48,1,3.36,1511046900
30,52,kazerun,ir,46.7,69,20,4.05,1511048904
48,48,tambovka,ru,-11.21,57,0,4.47,1511046000
50,32,drabiv,ua,35.31,97,88,6.4,1511048905
62,64,zelenoborsk,ru,22.13,92,80,5.95,1511048906
22,-80,manicaragua,cu,74.32,83,20,5.82,1511045460
42,-92,cedar rapids,us,38.16,64,1,19.46,1511046900
58,58,lysva,ru,30.36,87,88,13.44,1511048907
22,-84,guane,cu,73.07,83,24,2.37,1511048907
56,116,taksimo,ru,-24.86,33,44,1.92,1511048730
-34,142,mildura,au,74.46,68,0,14,1511048908
60,40,kharovsk,ru,31.71,90,76,12.77,1511048908
-24,-80,antofagasta,cl,59.79,78,0,2.71,1511048909
48,110,ondorhaan,mn,,,,,
66,108,aykhal,ru,-13.83,60,48,2.93,1511048721
10,16,lai,td,72.89,77,0,3.04,1511048909
12,118,bacuit,ph,,,,,
-32,-70,salamanca,cl,51.56,71,0,1.25,1511048910
40,-180,provideniya,ru,35.04,100,92,14.23,1511048911
32,74,kamoke,pk,51.67,76,0,3.71,1511046000
32,56,bafq,ir,27.84,70,0,2.93,1511048912
28,52,khormuj,ir,,,,,
52,4,monster,nl,45.55,87,40,3.36,1511047500
14,18,ati,td,75.09,26,0,10.98,1511048913
48,56,shubarkuduk,kz,20.37,74,64,3.94,1511048914
16,126,pandan,ph,80.76,100,80,6.17,1511048914
-8,160,buala,sb,85.04,85,56,4.61,1511048915
12,10,azare,ng,69.87,56,20,2.93,1511048915
52,136,berezovyy,ru,-11.18,53,36,3.27,1511048916
66,56,puteyets,ru,27.08,90,88,7.85,1511048917
4,10,edea,cm,75.2,100,75,3.36,1511046000
50,22,rzeszow,pl,35.6,93,75,5.82,1511047800
64,52,sindor,ru,30.09,91,64,8.08,1511048918
28,84,waling,np,39.72,80,0,1.7,1511048919
30,-78,merritt island,us,72.05,68,1,4.7,1511045880
44,-76,watertown,us,43.92,80,90,4.7,1511046900
46,14,idrija,si,38.52,100,0,1.12,1511047800
40,-76,coatesville,us,47.52,100,20,5.82,1511046900
14,10,goure,ne,74.69,34,0,9.19,1511048921
60,52,lesnoy,ru,24.87,93,20,8.97,1511048921
-10,44,mitsamiouli,km,78.87,100,20,8.3,1511048642
36,36,samandag,tr,,,,,
30,130,kaseda,jp,41,65,20,10.29,1511046000
50,-8,kinsale,ie,48.2,100,75,4.7,1511046000
12,116,tagusao,ph,79.77,99,12,4.16,1511048923
6,-106,san jeronimo,mx,,,,,
-24,46,amboasary,mg,71.6,88,75,7.52,1511046000
2,-4,jacqueville,ci,82.4,83,40,9.17,1511047800
10,118,aporawan,ph,,,,,
32,88,lasa,cn,,,,,
2,-84,muisne,ec,73.25,82,20,5.61,1511048925
-12,30,samfya,zm,76.62,51,48,14.45,1511048926
22,30,aswan,eg,64.02,84,0,2.59,1511048926
28,-16,galdar,es,69.8,73,75,10.29,1511047800
56,74,kolosovka,ru,19.74,89,68,8.63,1511048928
-24,30,tzaneen,za,52.1,83,12,1.48,1511048928
12,-82,san andres,co,82.4,78,40,8.05,1511046000
40,50,zig,az,,,,,
40,-66,shelburne,ca,44.13,100,90,3.36,1511046180
4,-164,hilo,us,71.82,61,20,10.29,1511045760
68,-54,kangaatsiaq,gl,12.59,100,0,8.52,1511048930
16,-94,paredon,mx,77.3,56,0,1.7,1511048930
8,-8,touba,ci,67.67,67,20,2.59,1511048931
22,-106,teacapan,mx,81.8,60,0,2.48,1511048932
58,2,visnes,no,45.37,75,0,33.33,1511047200
46,132,baoqing,cn,-6.81,59,0,8.08,1511048933
58,8,kristiansand,no,41,75,20,5.82,1511047200
-16,-50,goias,br,74.33,83,68,6.06,1511048934
8,-58,georgetown,gy,77,94,20,9.17,1511046000
52,96,toora-khem,ru,-8.34,55,24,1.7,1511048935
4,-64,boa vista,br,87.8,55,20,17.22,1511046000
68,54,iskateley,ru,24.02,92,88,14.67,1511048936
58,82,podgornoye,ru,32,94,75,6.71,1511046000
46,12,valdobbiadene,it,41,86,0,3.36,1511047200
-26,-52,pinhao,br,63.26,99,88,2.37,1511048938
48,144,makarov,ru,19.97,100,0,10.76,1511048938
36,-100,woodward,us,52.09,23,1,12.75,1511046900
-22,44,ankazoabo,mg,72.62,73,20,8.52,1511048939
34,4,birin,dz,,,,,
32,-104,carlsbad,us,70.47,68,1,5.82,1511045820
-50,-72,rio gallegos,ar,42.8,41,40,36.91,1511046000
50,6,clervaux,lu,39.78,100,90,4.7,1511047440
28,126,yomitan,jp,,,,,
34,20,tukrah,ly,,,,,
-12,-180,vaitupu,wf,,,,,
-10,-64,ariquemes,br,78.51,87,0,2.15,1511048941
32,-108,deming,us,63.46,16,1,14.99,1511046900
12,108,da lat,vn,65.91,96,92,2.82,1511048942
18,-62,codrington,ag,,,,,
60,54,gayny,ru,28.11,83,44,9.53,1511048942
18,34,barbar,sd,,,,,
60,58,severnyy-kospashskiy,ru,29.6,89,88,11.88,1511048943
-2,118,balikpapan,id,78.8,100,40,3.36,1511046000
-30,116,northam,au,60.8,93,0,1.12,1511046000
48,116,zabaykalsk,ru,-12.84,56,56,2.93,1511048944
-24,-56,lima,py,,,,,
52,-80,moose factory,ca,,,,,
54,-6,newry,gb,38.35,100,75,2.24,1511047200
28,54,gerash,ir,51.8,57,0,1.81,1511046000
24,28,tahta,eg,52.41,89,0,2.59,1511048947
0,-112,lazaro cardenas,mx,79.73,93,48,5.39,1511048659
42,76,kemin,kg,,,,,
54,76,kachiry,kz,26.76,90,76,10.42,1511048948
56,118,chara,ru,-19.59,73,44,1.59,1511048948
56,124,zolotinka,ru,,,,,
14,6,madaoua,ne,72.44,48,0,5.28,1511048949
38,-124,healdsburg,us,61.09,39,1,3.6,1511048100
-2,136,biak,id,,,,,
24,-156,kailua,us,78.39,69,40,9.17,1511045820
-24,-60,pozo colorado,py,,,,,
56,22,plunge,lt,39.2,93,80,4.7,1511047200
38,24,rafina,gr,50.95,100,0,3.36,1511047200
24,102,zhoucheng,cn,27.71,61,68,5.39,1511048952
-6,-74,requena,pe,,,,,
-20,-152,moerai,pf,74.19,100,0,17.25,1511048953
54,46,bolshiye berezniki,ru,,,,,
42,68,chardara,kz,,,,,
36,26,astipalaia,gr,,,,,
56,-142,haines junction,ca,1.7,96,48,2.26,1511048954
14,30,bara,sd,,,,,
-2,116,barabai,id,80.49,86,0,0.81,1511048955
-28,18,karasburg,na,52.91,25,0,2.59,1511048955
4,120,manuk mangkaw,ph,83.78,100,24,1.59,1511048955
52,14,lubben,de,37.4,93,75,13.87,1511047200
20,66,dwarka,in,72.62,100,0,18.48,1511048957
30,-18,santa cruz de la palma,es,71.6,73,0,5.82,1511047800
44,-106,gillette,us,39.2,35,1,0.92,1511045580
48,-72,desbiens,ca,,,,,
32,-8,marrakesh,ma,59,54,0,6.93,1511047800
8,116,balabac,ph,82.43,100,32,7.96,1511048959
56,50,arsk,ru,30.86,95,76,8.19,1511048959
46,42,gorodovikovsk,ru,40.04,93,24,11.65,1511048960
70,34,polyarnyy,ru,21.2,92,90,3.15,1511046000
-32,34,durban,za,72.71,95,0,10.42,1511048686
44,128,huangnihe,cn,0.57,50,20,3.94,1511048961
48,134,smidovich,ru,-6.23,58,20,5.73,1511048962
-6,-34,nisia floresta,br,78.8,74,20,8.05,1511046000
-10,-36,coruripe,br,78.47,97,88,12.1,1511048963
2,116,tarakan,id,77.93,100,32,2.93,1511048963
30,114,puqi,cn,45.21,100,80,9.75,1511048964
-8,-66,pauini,br,79.86,90,12,1.92,1511048964
-10,-48,palmas,br,75.2,94,90,5.82,1511046000
34,32,pafos,cy,,,,,
58,-4,golspie,gb,40.46,86,0,12.75,1511047200
26,106,anshun,cn,39.36,93,80,4.16,1511048966
50,-64,havre-saint-pierre,ca,32,88,90,4.7,1511046000
